reason,valueA,valueB,normalizedA,normalizedB,proposedSlugA,proposedSlugB,levenshteinDistance,deckCountA,deckCountB,sampleDecksA,sampleDecksB
levenshtein,666,NPH,666,nph,666,nph,3,1,1,666 Purple Inferno,NPH
levenshtein,666,Pi,666,pi,666,pi,3,1,3,666 Purple Inferno,Pi Standard | Plum Pi Standard | Chocolate Pi Standard
levenshtein,666,SNL,666,snl,666,snl,3,1,1,666 Purple Inferno,SNL
levenshtein,666,VHS,666,vhs,666,vhs,3,1,6,666 Purple Inferno,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,666,WB,666,wb,666,wb,3,1,1,666 Purple Inferno,WB
levenshtein,Aether,Antler,aether,antler,aether,antler,2,1,3,Aether,Antler Tobacco Brown | Antler Deep Maroon | Antler Black
levenshtein,Aether,Aztec,aether,aztec,aether,aztec,3,1,1,Aether,Aztec Tarot
levenshtein,Aether,Keeper,aether,keeper,aether,keeper,3,1,1,Aether,Keeper Red
levenshtein,Akheton,Aton,akheton,aton,akheton,aton,3,2,2,Akheton Dawn | Akheton Dusk,Aton Ebony | Aton Tamarisk
levenshtein,Alloy,Apollo,alloy,apollo,alloy,apollo,3,3,1,Alloy Copper | Alloy Amethyst | Alloy Copper,Apollo Standard
levenshtein,Alloy,Army,alloy,army,alloy,army,3,3,1,Alloy Copper | Alloy Amethyst | Alloy Copper,Army
levenshtein,Alloy,Aton,alloy,aton,alloy,aton,3,3,2,Alloy Copper | Alloy Amethyst | Alloy Copper,Aton Ebony | Aton Tamarisk
levenshtein,Alloy,Bloc,alloy,bloc,alloy,bloc,3,3,1,Alloy Copper | Alloy Amethyst | Alloy Copper,Bloc Plush Edition
levenshtein,Alloy,Ellen,alloy,ellen,alloy,ellen,3,3,1,Alloy Copper | Alloy Amethyst | Alloy Copper,Ellen
levenshtein,Alloy,Falcon,alloy,falcon,alloy,falcon,3,3,1,Alloy Copper | Alloy Amethyst | Alloy Copper,Falcon Black
levenshtein,Alloy,Kleos,alloy,kleos,alloy,kleos,3,3,2,Alloy Copper | Alloy Amethyst | Alloy Copper,Kleos Eos | Kleos Nyx
levenshtein,Amazons,Archons,amazons,archons,amazons,archons,3,2,2,Amazons Spartans Ephoros | Amazons Spartans Ephebes,Black Archons | White Archons
levenshtein,Amazons,Seasons,amazons,seasons,amazons,seasons,3,2,4,Amazons Spartans Ephoros | Amazons Spartans Ephebes,Seasons Seronda Platinum | Seasons Inverno Platinum | Seasons Primavera Platinum
levenshtein,Anicca,NPCCD,anicca,npccd,anicca,npccd,3,1,25,Anicca Blue,NPCCD 2016 Attendance | NPCCD 2016 Inaguration | NPCCD 2017 Pearl Label Anthracite
levenshtein,Ankh,Army,ankh,army,ankh,army,3,1,1,Ankh Standard,Army
levenshtein,Ankh,ARW,ankh,arw,ankh,arw,3,1,1,Ankh Standard,ARW v2.1
levenshtein,Ankh,Aton,ankh,aton,ankh,aton,3,1,2,Ankh Standard,Aton Ebony | Aton Tamarisk
levenshtein,Ankh,Aves,ankh,aves,ankh,aves,3,1,1,Ankh Standard,Aves
levenshtein,Ankh,Hana,ankh,hana,ankh,hana,3,1,2,Ankh Standard,Hana Gold | Hana Silver
levenshtein,Ankh,Jaqk,ankh,jaqk,ankh,jaqk,3,1,1,Ankh Standard,Jaqk Cellars Rose
levenshtein,Ankh,Manas,ankh,manas,ankh,manas,3,1,7,Ankh Standard,Manas Judgement | Manas Frost | Manas Fracture
levenshtein,Ankh,Neo,ankh,neo,ankh,neo,3,1,3,Ankh Standard,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,Ankh,NPH,ankh,nph,ankh,nph,2,1,1,Ankh Standard,NPH
levenshtein,Ankh,Onda,ankh,onda,ankh,onda,3,1,14,Ankh Standard,Onda Acquamarine | Onda Acquamarine Copper Gilded | Onda Ultramarine Gold
levenshtein,Ankh,SNL,ankh,snl,ankh,snl,3,1,1,Ankh Standard,SNL
levenshtein,Ankh,Wonka,ankh,wonka,ankh,wonka,3,1,1,Ankh Standard,Wonka
levenshtein,Antler,Aztec,antler,aztec,antler,aztec,3,3,1,Antler Tobacco Brown | Antler Deep Maroon | Antler Black,Aztec Tarot
levenshtein,Arabesque,Grotesque,arabesque,grotesque,arabesque,grotesque,3,2,1,Arabesque Red Players | Arabesque Blue Players,Grotesque Original Edition
levenshtein,Arcana,Arcane,arcana,arcane,arcana,arcane,1,3,4,Arcana Full Tarot Light v2 (one piece tuck) | Arcana Dark Expansion Tarot (with 2 piece box) | Arcana Light Expansion Tarot (with 2 piece box),Arcane Standard | Arcane Standard Prototype | Arcane Signature
levenshtein,Arcana,Archons,arcana,archons,arcana,archons,3,3,2,Arcana Full Tarot Light v2 (one piece tuck) | Arcana Dark Expansion Tarot (with 2 piece box) | Arcana Light Expansion Tarot (with 2 piece box),Black Archons | White Archons
levenshtein,Arcana,Hana,arcana,hana,arcana,hana,3,3,2,Arcana Full Tarot Light v2 (one piece tuck) | Arcana Dark Expansion Tarot (with 2 piece box) | Arcana Light Expansion Tarot (with 2 piece box),Hana Gold | Hana Silver
levenshtein,Arcana,Tucan,arcana,tucan,arcana,tucan,3,3,1,Arcana Full Tarot Light v2 (one piece tuck) | Arcana Dark Expansion Tarot (with 2 piece box) | Arcana Light Expansion Tarot (with 2 piece box),Tucan Cinnamon Back
levenshtein,Arcane,Archons,arcane,archons,arcane,archons,3,4,2,Arcane Standard | Arcane Standard Prototype | Arcane Signature,Black Archons | White Archons
levenshtein,Arcane,Branle,arcane,branle,arcane,branle,3,4,2,Arcane Standard | Arcane Standard Prototype | Arcane Signature,Branle | Branle Royal
levenshtein,Arcane,Tucan,arcane,tucan,arcane,tucan,3,4,1,Arcane Standard | Arcane Standard Prototype | Arcane Signature,Tucan Cinnamon Back
levenshtein,Archons,Icons,archons,icons,archons,icons,3,2,1,Black Archons | White Archons,Icons Anniversary Standard
levenshtein,Archons,Marchen,archons,marchen,archons,marchen,3,2,2,Black Archons | White Archons,Marchen Hemelin | Marchen Schwarzwald
levenshtein,Army,ARW,army,arw,army,arw,2,1,1,Army,ARW v2.1
levenshtein,Army,Aton,army,aton,army,aton,3,1,2,Army,Aton Ebony | Aton Tamarisk
levenshtein,Army,Aves,army,aves,army,aves,3,1,1,Army,Aves
levenshtein,Army,Brut,army,brut,army,brut,3,1,1,Army,Brut
levenshtein,Army,Dram,army,dram,army,dram,3,1,6,Army,Dram Gold | Dram Copper | Dram Gold Private Reserve
levenshtein,Army,Eros,army,eros,army,eros,3,1,1,Army,Eros: The Garden of Love Tarot v3
levenshtein,Army,Faro,army,faro,army,faro,3,1,1,Army,Faro Vintage Reproduction Prototype
levenshtein,Army,Forma,army,forma,army,forma,3,1,1,Army,Forma Purple
levenshtein,Army,Grid,army,grid,army,grid,3,1,1,Army,Grid 2.0
levenshtein,Army,Kami,army,kami,army,kami,3,1,2,Army,Kami Prototype | Kami Heavenly Sakura Prototype
levenshtein,Army,Obey,army,obey,army,obey,3,1,3,Army,Obey Collage | Obey Red | Obey Gold
levenshtein,Army,Rome,army,rome,army,rome,3,1,4,Army,Rome Augustus | Rome Augustus Sleeve | Rome Caesar
levenshtein,Army,Sumi,army,sumi,army,sumi,3,1,7,Army,Sumi Kitsune Myth Maker | Sumi Kitsune Tale Teller | Sumi Artist
levenshtein,Army,Time,army,time,army,time,3,1,5,Army,Time I | Time II | Time III
levenshtein,ARW,Aton,arw,aton,arw,aton,3,1,2,ARW v2.1,Aton Ebony | Aton Tamarisk
levenshtein,ARW,Aves,arw,aves,arw,aves,3,1,1,ARW v2.1,Aves
levenshtein,ARW,Brut,arw,brut,arw,brut,3,1,1,ARW v2.1,Brut
levenshtein,ARW,D23,arw,d23,arw,d23,3,1,1,ARW v2.1,Magic & Mystery
levenshtein,ARW,DC,arw,dc,arw,dc,3,1,2,ARW v2.1,Dark Knight | Superman
levenshtein,ARW,Dram,arw,dram,arw,dram,3,1,6,ARW v2.1,Dram Gold | Dram Copper | Dram Gold Private Reserve
levenshtein,ARW,Elf,arw,elf,arw,elf,3,1,1,ARW v2.1,Elf
levenshtein,ARW,Eros,arw,eros,arw,eros,3,1,1,ARW v2.1,Eros: The Garden of Love Tarot v3
levenshtein,ARW,Eva,arw,eva,arw,eva,3,1,11,ARW v2.1,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,ARW,Faro,arw,faro,arw,faro,2,1,1,ARW v2.1,Faro Vintage Reproduction Prototype
levenshtein,ARW,Gaia,arw,gaia,arw,gaia,3,1,1,ARW v2.1,Gaia
levenshtein,ARW,Grid,arw,grid,arw,grid,3,1,1,ARW v2.1,Grid 2.0
levenshtein,ARW,Hana,arw,hana,arw,hana,3,1,2,ARW v2.1,Hana Gold | Hana Silver
levenshtein,ARW,Jaqk,arw,jaqk,arw,jaqk,3,1,1,ARW v2.1,Jaqk Cellars Rose
levenshtein,ARW,Kami,arw,kami,arw,kami,3,1,2,ARW v2.1,Kami Prototype | Kami Heavenly Sakura Prototype
levenshtein,ARW,Lore,arw,lore,arw,lore,3,1,4,ARW v2.1,Lore Väesen Foil | Lore Midwinter Red | Lore Midsummer Blue
levenshtein,ARW,Lux,arw,lux,arw,lux,3,1,2,ARW v2.1,Lux Tarot | Lux Tarot Gilded
levenshtein,ARW,Made,arw,made,arw,made,3,1,2,ARW v2.1,Made Gold | Made Silver
levenshtein,ARW,Neo,arw,neo,arw,neo,3,1,3,ARW v2.1,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,ARW,NPH,arw,nph,arw,nph,3,1,1,ARW v2.1,NPH
levenshtein,ARW,Pi,arw,pi,arw,pi,3,1,3,ARW v2.1,Pi Standard | Plum Pi Standard | Chocolate Pi Standard
levenshtein,ARW,Ravn,arw,ravn,arw,ravn,3,1,17,ARW v2.1,Ravn Crimson Red Mini | Ravn Purple Haze Mini | Ravn X Mini
levenshtein,ARW,Saga,arw,saga,arw,saga,3,1,3,ARW v2.1,Saga Conquerors | Saga Raiders | Saga Seafarers
levenshtein,ARW,SNL,arw,snl,arw,snl,3,1,1,ARW v2.1,SNL
levenshtein,ARW,Surf,arw,surf,arw,surf,3,1,2,ARW v2.1,Surf | Surf v2 Sunset
levenshtein,ARW,VHS,arw,vhs,arw,vhs,3,1,6,ARW v2.1,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,ARW,WB,arw,wb,arw,wb,3,1,1,ARW v2.1,WB
levenshtein,Asgard,Aviary,asgard,aviary,asgard,aviary,3,2,3,Asgard: Thor Edition | Asgard: Odin Edition,Aviary Orange | Aviary Black | Aviary Tan
levenshtein,Asgard,Midgard,asgard,midgard,asgard,midgard,3,2,2,Asgard: Thor Edition | Asgard: Odin Edition,Midgard Danegeld | Midgard Yggdrasil
levenshtein,Asgard,Oscars,asgard,oscars,asgard,oscars,3,2,1,Asgard: Thor Edition | Asgard: Odin Edition,Oscars
levenshtein,Aton,Aves,aton,aves,aton,aves,3,2,1,Aton Ebony | Aton Tamarisk,Aves
levenshtein,Aton,Aztec,aton,aztec,aton,aztec,3,2,1,Aton Ebony | Aton Tamarisk,Aztec Tarot
levenshtein,Aton,Bloc,aton,bloc,aton,bloc,3,2,1,Aton Ebony | Aton Tamarisk,Bloc Plush Edition
levenshtein,Aton,Dragon,aton,dragon,aton,dragon,3,2,2,Aton Ebony | Aton Tamarisk,Dragon Blue | Dragon Green
levenshtein,Aton,Eros,aton,eros,aton,eros,3,2,1,Aton Ebony | Aton Tamarisk,Eros: The Garden of Love Tarot v3
levenshtein,Aton,Falcon,aton,falcon,aton,falcon,3,2,1,Aton Ebony | Aton Tamarisk,Falcon Black
levenshtein,Aton,Faro,aton,faro,aton,faro,3,2,1,Aton Ebony | Aton Tamarisk,Faro Vintage Reproduction Prototype
levenshtein,Aton,Goos,aton,goos,aton,goos,3,2,1,Aton Ebony | Aton Tamarisk,2020 Vision (Goos)
levenshtein,Aton,Icons,aton,icons,aton,icons,3,2,1,Aton Ebony | Aton Tamarisk,Icons Anniversary Standard
levenshtein,Aton,Moon,aton,moon,aton,moon,2,2,1,Aton Ebony | Aton Tamarisk,Moon
levenshtein,Aton,Neo,aton,neo,aton,neo,3,2,3,Aton Ebony | Aton Tamarisk,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,Aton,Pagan,aton,pagan,aton,pagan,3,2,11,Aton Ebony | Aton Tamarisk,Pagan Blue Gold Gilded | Pagan Otherworlds Gold Gilded | Pagan Dark
levenshtein,Aton,Patrons,aton,patrons,aton,patrons,3,2,2,Aton Ebony | Aton Tamarisk,Patrons Test Print | Patrons White
levenshtein,Aton,Ravn,aton,ravn,aton,ravn,3,2,17,Aton Ebony | Aton Tamarisk,Ravn Crimson Red Mini | Ravn Purple Haze Mini | Ravn X Mini
levenshtein,Aton,Union,aton,union,aton,union,3,2,1,Aton Ebony | Aton Tamarisk,Union
levenshtein,Aves,Aztec,aves,aztec,aves,aztec,3,1,1,Aves,Aztec Tarot
levenshtein,Aves,Bees,aves,bees,aves,bees,2,1,2,Aves,Super Bees v2 | Killer Bees
levenshtein,Aves,Bones,aves,bones,aves,bones,3,1,1,Aves,Bones Dust
levenshtein,Aves,Carvers,aves,carvers,aves,carvers,3,1,1,Aves,Carvers
levenshtein,Aves,Eames,aves,eames,aves,eames,2,1,1,Aves,Eames Starburst Black
levenshtein,Aves,Elves,aves,elves,aves,elves,2,1,5,Aves,Elves Forest | Elves Mire Gold Gilded | Elves Galad Green Gilded
levenshtein,Aves,Eros,aves,eros,aves,eros,3,1,1,Aves,Eros: The Garden of Love Tarot v3
levenshtein,Aves,Eva,aves,eva,aves,eva,3,1,11,Aves,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,Aves,Fibs,aves,fibs,aves,fibs,3,1,2,Aves,Fibs White Sample Edition | Fibs Black Sample Edition
levenshtein,Aves,Goos,aves,goos,aves,goos,3,1,1,Aves,2020 Vision (Goos)
levenshtein,Aves,Kleos,aves,kleos,aves,kleos,3,1,2,Aves,Kleos Eos | Kleos Nyx
levenshtein,Aves,Less,aves,less,aves,less,3,1,2,Aves,Less Silver | Less Gold
levenshtein,Aves,Made,aves,made,aves,made,3,1,2,Aves,Made Gold | Made Silver
levenshtein,Aves,Makers,aves,makers,aves,makers,3,1,4,Aves,Makers Private Reserve | Makers Private Reserve Gilded | Makers Blacksmith Edition
levenshtein,Aves,Manas,aves,manas,aves,manas,3,1,7,Aves,Manas Judgement | Manas Frost | Manas Fracture
levenshtein,Aves,Marvel,aves,marvel,aves,marvel,3,1,3,Aves,Black Panther | Guardians of the Galaxy | Spider Man
levenshtein,Aves,Neo,aves,neo,aves,neo,3,1,3,Aves,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,Aves,Noel,aves,noel,aves,noel,3,1,1,Aves,Noel Limited
levenshtein,Aves,Obey,aves,obey,aves,obey,3,1,3,Aves,Obey Collage | Obey Red | Obey Gold
levenshtein,Aves,Ravn,aves,ravn,aves,ravn,3,1,17,Aves,Ravn Crimson Red Mini | Ravn Purple Haze Mini | Ravn X Mini
levenshtein,Aves,Sins,aves,sins,aves,sins,3,1,12,Aves,Sins Legacy Corpus | Sins Legacy Mentis | Sins Black Anima
levenshtein,Aves,Tales,aves,tales,aves,tales,2,1,6,Aves,Nefarious Tales | Heroic Tales | Arcane Tales
levenshtein,Aves,Theos,aves,theos,aves,theos,3,1,4,Aves,Theos Green | Theos Purple | Theos Limited Green
levenshtein,Aves,VHS,aves,vhs,aves,vhs,2,1,6,Aves,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,Aves,Zeus,aves,zeus,aves,zeus,3,1,2,Aves,Zeus Mighty Gold | Zeus Sterling Silver
levenshtein,Balance,Branle,balance,branle,balance,branle,3,1,2,Balance,Branle | Branle Royal
levenshtein,Balance,Silence,balance,silence,balance,silence,3,1,1,Balance,Silence
levenshtein,Balance,Wallace,balance,wallace,balance,wallace,3,1,2,Balance,Wallace Alba | Wallace Caledonia
levenshtein,Beatles,Bees,beatles,bees,beatles,bees,3,5,2,Yellow Submarine | The Beatles Blue | The Beatles Pink,Super Bees v2 | Killer Bees
levenshtein,Beatles,Branle,beatles,branle,beatles,branle,3,5,2,Yellow Submarine | The Beatles Blue | The Beatles Pink,Branle | Branle Royal
levenshtein,Beatles,Eames,beatles,eames,beatles,eames,3,5,1,Yellow Submarine | The Beatles Blue | The Beatles Pink,Eames Starburst Black
levenshtein,Beatles,Heartless,beatles,heartless,beatles,heartless,3,5,4,Yellow Submarine | The Beatles Blue | The Beatles Pink,Heartless Abyss | Heartless Nether | Heartless Gehenna
levenshtein,Beatles,Tales,beatles,tales,beatles,tales,3,5,6,Yellow Submarine | The Beatles Blue | The Beatles Pink,Nefarious Tales | Heroic Tales | Arcane Tales
levenshtein,Bees,Bloc,bees,bloc,bees,bloc,3,2,1,Super Bees v2 | Killer Bees,Bloc Plush Edition
levenshtein,Bees,Bold,bees,bold,bees,bold,3,2,2,Super Bees v2 | Killer Bees,Bold Deluxe | Bold Standard
levenshtein,Bees,Bones,bees,bones,bees,bones,2,2,1,Super Bees v2 | Killer Bees,Bones Dust
levenshtein,Bees,Brut,bees,brut,bees,brut,3,2,1,Super Bees v2 | Killer Bees,Brut
levenshtein,Bees,Dense,bees,dense,bees,dense,3,2,1,Super Bees v2 | Killer Bees,Dense v2 Blue/Green Laser Gilded
levenshtein,Bees,Eames,bees,eames,bees,eames,3,2,1,Super Bees v2 | Killer Bees,Eames Starburst Black
levenshtein,Bees,Elf,bees,elf,bees,elf,3,2,1,Super Bees v2 | Killer Bees,Elf
levenshtein,Bees,Elves,bees,elves,bees,elves,3,2,5,Super Bees v2 | Killer Bees,Elves Forest | Elves Mire Gold Gilded | Elves Galad Green Gilded
levenshtein,Bees,Eros,bees,eros,bees,eros,3,2,1,Super Bees v2 | Killer Bees,Eros: The Garden of Love Tarot v3
levenshtein,Bees,Eva,bees,eva,bees,eva,3,2,11,Super Bees v2 | Killer Bees,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,Bees,Fibs,bees,fibs,bees,fibs,3,2,2,Super Bees v2 | Killer Bees,Fibs White Sample Edition | Fibs Black Sample Edition
levenshtein,Bees,Goos,bees,goos,bees,goos,3,2,1,Super Bees v2 | Killer Bees,2020 Vision (Goos)
levenshtein,Bees,Hermes,bees,hermes,bees,hermes,3,2,2,Super Bees v2 | Killer Bees,Les 4 Mondes | Cassandre for Hermes
levenshtein,Bees,Kleos,bees,kleos,bees,kleos,3,2,2,Super Bees v2 | Killer Bees,Kleos Eos | Kleos Nyx
levenshtein,Bees,Lego,bees,lego,bees,lego,3,2,3,Super Bees v2 | Killer Bees,Lego Brick Warm Colors | Lego Brick Cool Colors | Lego Botanical
levenshtein,Bees,Less,bees,less,bees,less,2,2,2,Super Bees v2 | Killer Bees,Less Silver | Less Gold
levenshtein,Bees,Neo,bees,neo,bees,neo,3,2,3,Super Bees v2 | Killer Bees,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,Bees,Noel,bees,noel,bees,noel,3,2,1,Super Bees v2 | Killer Bees,Noel Limited
levenshtein,Bees,Obey,bees,obey,bees,obey,3,2,3,Super Bees v2 | Killer Bees,Obey Collage | Obey Red | Obey Gold
levenshtein,Bees,Peak,bees,peak,bees,peak,3,2,1,Super Bees v2 | Killer Bees,Peak Mountain
levenshtein,Bees,Sensu,bees,sensu,bees,sensu,3,2,4,Super Bees v2 | Killer Bees,Sensu Mankai-No-Sensu (Full Blossom Fan) | Sensu Haru-No-Sensu (Spring's Fan) | Sensu Fuyu-No-Sensu (Winter's Fan)
levenshtein,Bees,Sins,bees,sins,bees,sins,3,2,12,Super Bees v2 | Killer Bees,Sins Legacy Corpus | Sins Legacy Mentis | Sins Black Anima
levenshtein,Bees,Tales,bees,tales,bees,tales,3,2,6,Super Bees v2 | Killer Bees,Nefarious Tales | Heroic Tales | Arcane Tales
levenshtein,Bees,Texas,bees,texas,bees,texas,3,2,2,Super Bees v2 | Killer Bees,Texas Player's Edition | Texas Premium Edition
levenshtein,Bees,Theos,bees,theos,bees,theos,3,2,4,Super Bees v2 | Killer Bees,Theos Green | Theos Purple | Theos Limited Green
levenshtein,Bees,VHS,bees,vhs,bees,vhs,3,2,6,Super Bees v2 | Killer Bees,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,Bees,Zeus,bees,zeus,bees,zeus,2,2,2,Super Bees v2 | Killer Bees,Zeus Mighty Gold | Zeus Sterling Silver
levenshtein,Bloc,Bold,bloc,bold,bloc,bold,3,1,2,Bloc Plush Edition,Bold Deluxe | Bold Standard
levenshtein,Bloc,Bosch,bloc,bosch,bloc,bosch,3,1,1,Bloc Plush Edition,Bosch
levenshtein,Bloc,Brut,bloc,brut,bloc,brut,3,1,1,Bloc Plush Edition,Brut
levenshtein,Bloc,DC,bloc,dc,bloc,dc,3,1,2,Bloc Plush Edition,Dark Knight | Superman
levenshtein,Bloc,Elf,bloc,elf,bloc,elf,3,1,1,Bloc Plush Edition,Elf
levenshtein,Bloc,Eros,bloc,eros,bloc,eros,3,1,1,Bloc Plush Edition,Eros: The Garden of Love Tarot v3
levenshtein,Bloc,Flora,bloc,flora,bloc,flora,3,1,1,Bloc Plush Edition,Red Flora
levenshtein,Bloc,Glico,bloc,glico,bloc,glico,3,1,2,Bloc Plush Edition,Glico Almond Chocolate | Glico Giant Ice Cream
levenshtein,Bloc,Goos,bloc,goos,bloc,goos,3,1,1,Bloc Plush Edition,2020 Vision (Goos)
levenshtein,Bloc,Kleos,bloc,kleos,bloc,kleos,3,1,2,Bloc Plush Edition,Kleos Eos | Kleos Nyx
levenshtein,Bloc,Lore,bloc,lore,bloc,lore,3,1,4,Bloc Plush Edition,Lore Väesen Foil | Lore Midwinter Red | Lore Midsummer Blue
levenshtein,Bloc,Lux,bloc,lux,bloc,lux,3,1,2,Bloc Plush Edition,Lux Tarot | Lux Tarot Gilded
levenshtein,Bloc,Moon,bloc,moon,bloc,moon,3,1,1,Bloc Plush Edition,Moon
levenshtein,Bloc,Neo,bloc,neo,bloc,neo,3,1,3,Bloc Plush Edition,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,Bold,Bones,bold,bones,bold,bones,3,2,1,Bold Deluxe | Bold Standard,Bones Dust
levenshtein,Bold,Bosch,bold,bosch,bold,bosch,3,2,1,Bold Deluxe | Bold Standard,Bosch
levenshtein,Bold,Brut,bold,brut,bold,brut,3,2,1,Bold Deluxe | Bold Standard,Brut
levenshtein,Bold,Cult,bold,cult,bold,cult,3,2,8,Bold Deluxe | Bold Standard,Cult: Air (Silver Seal) | Cult: Air (Blue Seal - Inner Circle) | Cult: Earth (Green Seal)
levenshtein,Bold,Elf,bold,elf,bold,elf,3,2,1,Bold Deluxe | Bold Standard,Elf
levenshtein,Bold,Goos,bold,goos,bold,goos,3,2,1,Bold Deluxe | Bold Standard,2020 Vision (Goos)
levenshtein,Bold,Grid,bold,grid,bold,grid,3,2,1,Bold Deluxe | Bold Standard,Grid 2.0
levenshtein,Bold,Lore,bold,lore,bold,lore,3,2,4,Bold Deluxe | Bold Standard,Lore Väesen Foil | Lore Midwinter Red | Lore Midsummer Blue
levenshtein,Bold,Moon,bold,moon,bold,moon,3,2,1,Bold Deluxe | Bold Standard,Moon
levenshtein,Bold,Noel,bold,noel,bold,noel,3,2,1,Bold Deluxe | Bold Standard,Noel Limited
levenshtein,Bold,NoMad,bold,nomad,bold,nomad,3,2,1,Bold Deluxe | Bold Standard,NoMad
